qb_item_id,code,name,qb_type,status,sku,category,default_price,updated_at,updated_by
54,QB-ITEM-54,ANT-005 (supprimé),Service,archived,,Service,536.00,2026-03-10 14:07:04.202250+00:00,quickbooks-sync
53,QB-ITEM-53,CBL-004 (75’) (supprimé),Service,archived,,Service,325.00,2026-03-10 14:07:04.267326+00:00,quickbooks-sync
55,QB-ITEM-55,CBL-062 (supprimé),Service,archived,,Service,51.00,2026-03-10 14:07:04.281465+00:00,quickbooks-sync
15,QB-ITEM-15,Domino repérage (supprimé),Service,archived,,Service,320.00,2026-03-10 14:06:59.995360+00:00,quickbooks-sync
37,QB-ITEM-37,"ESL Installation gps ,tablette dash cam (supprimé)",Service,archived,,Service,200.00,2026-03-10 14:07:00.456939+00:00,quickbooks-sync
36,QB-ITEM-36,ESL installation gps et dash cam exalt (supprimé),Service,archived,,Service,130.00,2026-03-10 14:07:00.475262+00:00,quickbooks-sync
32,QB-ITEM-32,ESL orbcom GPS install camion (supprimé),Service,archived,,Service,179.20,2026-03-10 14:07:00.492141+00:00,quickbooks-sync
34,QB-ITEM-34,ESL orbcomm GPS appel de service camion (supprimé),Service,archived,,Service,100.00,2026-03-10 14:07:00.557219+00:00,quickbooks-sync
33,QB-ITEM-33,ESL orbcomm GPS removal (supprimé),Service,archived,,Service,100.00,2026-03-10 14:07:00.571426+00:00,quickbooks-sync
30,QB-ITEM-30,ESL taux horraire (supprimé),Service,archived,,Service,76.00,2026-03-10 14:07:00.155632+00:00,quickbooks-sync
45,QB-ITEM-45,Fils CSA (supprimé),Service,archived,,Service,1.05,2026-03-10 14:07:00.200954+00:00,quickbooks-sync
28,QB-ITEM-28,Frais de déplacement ESL (supprimé),Service,archived,,Service,50.00,2026-03-10 14:07:00.312654+00:00,quickbooks-sync
29,QB-ITEM-29,Frais de déplacement distance ESL (supprimé),Service,archived,,Service,0.61,2026-03-10 14:07:05.077872+00:00,quickbooks-sync
26,QB-ITEM-26,Isaac désinstallation+ installation THL (supprimé),Service,archived,,Service,272.11,2026-03-10 14:07:00.964872+00:00,quickbooks-sync
9,QB-ITEM-9,KM frais de déplacement PG solutions (supprimé),Service,archived,,Service,0.63,2026-03-10 14:07:05.103806+00:00,quickbooks-sync
43,QB-ITEM-43,Services d esthetique mazda (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:00.794262+00:00,quickbooks-sync
27,QB-ITEM-27,appel de service Isaac THL (supprimé),Service,archived,,Service,100.00,2026-03-10 14:07:00.404746+00:00,quickbooks-sync
46,QB-ITEM-46,backglass (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:04.224865+00:00,quickbooks-sync
11,QB-ITEM-11,frais transport (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:00.381313+00:00,quickbooks-sync
3,QB-ITEM-3,honoraire (supprimé),Service,archived,,Service,75.00,2026-03-10 14:07:00.586210+00:00,quickbooks-sync
7,QB-ITEM-7,hébergement (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:00.214845+00:00,quickbooks-sync
18,QB-ITEM-18,installation isaac in view (supprimé),Service,archived,,Service,245.96,2026-03-10 14:07:00.598373+00:00,quickbooks-sync
24,QB-ITEM-24,isaac ajout antenne satellite (supprimé),Service,archived,,Service,131.76,2026-03-10 14:07:00.608982+00:00,quickbooks-sync
23,QB-ITEM-23,isaac ajout dashcam (supprimé),Service,archived,,Service,85.00,2026-03-10 14:07:00.665892+00:00,quickbooks-sync
22,QB-ITEM-22,isaac appel de service (supprimé),Service,archived,,Service,100.00,2026-03-10 14:07:00.681731+00:00,quickbooks-sync
21,QB-ITEM-21,isaac désinstallation (supprimé),Service,archived,,Service,98.38,2026-03-10 14:07:00.912636+00:00,quickbooks-sync
19,QB-ITEM-19,isaac in control (supprimé),Service,archived,,Service,207.31,2026-03-10 14:07:00.694512+00:00,quickbooks-sync
25,QB-ITEM-25,isaac in control -THL (supprimé),Service,archived,,Service,187.07,2026-03-10 14:07:00.985750+00:00,quickbooks-sync
20,QB-ITEM-20,isaac in metric (supprimé),Service,archived,,Service,150.39,2026-03-10 14:07:00.708259+00:00,quickbooks-sync
39,QB-ITEM-39,km (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:05.090950+00:00,quickbooks-sync
44,QB-ITEM-44,materiel d atelier (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:00.265749+00:00,quickbooks-sync
10,QB-ITEM-10,pare brise (supprimé),Service,archived,,Service,200.00,2026-03-10 14:07:01.204414+00:00,quickbooks-sync
6,QB-ITEM-6,per diem (supprimé),Service,archived,,Service,80.00,2026-03-10 14:07:01.272590+00:00,quickbooks-sync
12,QB-ITEM-12,pneu (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:02.978963+00:00,quickbooks-sync
52,QB-ITEM-52,ppf (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:02.990980+00:00,quickbooks-sync
41,QB-ITEM-41,protection pare pierre (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:04.363499+00:00,quickbooks-sync
49,QB-ITEM-49,service PG solutions (supprimé),NonInventory,archived,,NonInventory,125.00,2026-03-10 14:07:00.780608+00:00,quickbooks-sync
51,QB-ITEM-51,stationnement (supprimé),Service,archived,,Service,217.43,2026-03-10 14:07:04.508499+00:00,quickbooks-sync
48,QB-ITEM-48,taux horraire pg solutions (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:04.576442+00:00,quickbooks-sync
50,QB-ITEM-50,taux horraire transport pg (supprimé),Service,archived,,Service,70.00,2026-03-10 14:07:04.588624+00:00,quickbooks-sync
16,QB-ITEM-16,temps installation (supprimé),Service,archived,,Service,0.00,2026-03-10 14:07:00.864582+00:00,quickbooks-sync
47,QB-ITEM-47,temps supp (supprimé),NonInventory,archived,,NonInventory,0.00,2026-03-10 14:07:04.986217+00:00,quickbooks-sync
4,QB-ITEM-4,temps supplementaire pg solution (supprimé),Service,archived,,Service,187.50,2026-03-10 14:07:04.999251+00:00,quickbooks-sync
5,QB-ITEM-5,transport temps supplementaires PG solutions (supprimé),Service,archived,,Service,105.00,2026-03-10 14:07:05.115528+00:00,quickbooks-sync
14,QB-ITEM-14,urethane (supprimé),NonInventory,archived,,NonInventory,66.15,2026-03-10 14:07:04.394877+00:00,quickbooks-sync
149,INN-EQUIP-52,"2"" X 1.7"" with ball 1.5"" VESA plate (screwed to truck)",NonInventory,active,INN-EQUIP-52,NonInventory,37.80,2026-03-10 14:07:01.378647+00:00,quickbooks-sync
150,INN-EQUIP-170,38mm Ball with Round Base,NonInventory,active,INN-EQUIP-170,NonInventory,45.90,2026-03-10 14:07:01.406548+00:00,quickbooks-sync
151,INN-EQUIP-51,"75mm x 75mm VESA plate (screwed to monitor, 1.5"" ball)",NonInventory,active,INN-EQUIP-51,NonInventory,39.15,2026-03-10 14:07:01.474192+00:00,quickbooks-sync
153,INN-EQUIP-62,BNC Cable 15 ft (-40 to + 85C),NonInventory,active,INN-EQUIP-62,NonInventory,63.45,2026-03-10 14:07:01.496746+00:00,quickbooks-sync
154,INN-EQUIP-63,BNC JACK to RCA Jack adaptor,NonInventory,active,INN-EQUIP-63,NonInventory,5.40,2026-03-10 14:07:01.563008+00:00,quickbooks-sync
96,TEINTE-BANDE-PB,Bande pare-brise teintée,Service,active,TEINTE-BANDE-PB,Service,50.00,2026-03-10 14:06:58.795931+00:00,quickbooks-sync
148,FORDDN-SVC-TINT-BANDE-PB,Bande pare-brise teintée (Ford),Service,active,FORDDN-SVC-TINT-BANDE-PB,Service,50.00,2026-03-10 14:06:59.955976+00:00,quickbooks-sync
161,INN-EQUIP-84,CONN NULL MODEM CABLE DB9F à DB9F,NonInventory,active,INN-EQUIP-84,NonInventory,8.10,2026-03-10 14:07:01.873549+00:00,quickbooks-sync
